AHWJ,000307C0,"0523 - Hot Wheels Advance (J).gba","",00030790
AKUJ,00053EB4,"0524 - Kurohige no Kurutto Jintori (J).gba","",00053E90
AN6J,00155AC8,"0525 - Kaze no Klonoa 2 G2 - Dream Champ Tournament (J).gba","",00155A74
AKZJ,00081684,"0529 - Kamaitachi no Yoru Advance (J).gba","",000815F4
ASXJ,00107D54,"0530 - San Goku Shi (C).gba","",
AG9J,000806E0,"0531 - Greatest Nine (J).gba","",00080674
AVMJ,001A99D8,"0532 - V-Master Cross (J).gba","",001A9978
AKOE,0073EC98,"0533 - The King Of Fighters EX - Neo Blood (U).gba","",0073EC68
ACXE,0007C86C,"0534 - Cubix - Robots for Everyone - Clash 'n Bash (U).gba","",
A3MJ,00167F64,"0535 - Disney's Magical Quest Starring Mickey and Minnie (J).gba","",00167EA4
AFCJ,00504120,"0536 - RockMan & Forte (J).gba","",
AAEE,00266240,"0537 - Hey Arnold! The Movie (E).gba","",0026618C
AYIE,00209B90,"0539 - Urban Yeti! (U).gba","",00207870
ANJE,0000AC28,"0540 - Madden NFL 2003 (U).gba","",0000ABC8
A3ME,00167178,"0541 - Disney's Magical Quest Starring Mickey and Minnie (U).gba","",001670B8
A2KE,003903D0,"0542 - Spy Kids Challenger (U).gba","",00390394
ANKE,000EAFBC,"0543 - NFL Blitz 20-03 (U).gba","",000EAF5C
AQCJ,0009F3C4,"0544 - Combat Choro Q - Advance Battle (J).gba","",0009F3A0
ACUJ,0016EF78,"0545 - Crash Bandicoot Advance (J).gba","",
AN7J,0012D770,"0546 - Famista Advance (J).gba","",0012D728
AM8E,006BED40,"0550 - Monster Force (U).gba","",006BED04
AHCJ,00178344,"0551 - Minimoni - Mika no Happy Morning Chatty (J).gba","",
ATYJ,0021C97C,"0553 - Tetsuya Yomigaeru Densetsu (J).gba","",
AQRE,001D32B8,"0554 - ATV - Quad Power Racing (U).gba","",001D327C
AD5J,002116A4,"0555 - Mr. Driller Ace - Strange Bacteria (J).gba","",00211668
ALMJ,002F60E4,"0556 - Yakyutsuku Advance (J).gba","",002F60B4
AT4P,00080964,"0557 - Turok Evolution (E).gba","",
AMUJ,0002B43C,"0559 - Mutsu Water Looper (J).gba","",0002B40C
ARKF,00085B14,"0562 - Rocket Power - Le Cauchemar d'Otto (F).gba","",
AXBJ,00417CA8,"0564 - Black Matrix Zero (J).gba","",
A3BE,00060F08,"0565 - Sabrina The Teenage Witch - Potion Commotion (U).gba","",00060ED8
AM7J,001DC3DC,"0567 - Hamepane Tokyo Myumyu (J).gba","",001DC3AC
APIP,0014EDB0,"0570 - Pinky And The Brain - The Master Plan (E).gba","",
ANOJ,00348D6C,"0572 - Nobunaga Ibun (J).gba","",
ADNJ,006DF714,"0574 - Jurassic Park 3 - DNA Factor (J).gba","",006E0D64
ACHP,001A6B5C,"0576 - Castlevania - Harmony of Dissonance (E).gba","",001A6B2C
AC2J,00103368,"0577 - J League Pro Soccer Club o Tsukurou Advance (J).gba","",
ANQP,00370224,"0578 - Nicktoons Racing (E).gba","",003701E8
ASTJ,0007704C,"0579 - Densetsu no Stafy (J).gba","",00077004
AIPE,0065ED70,"0585 - Silent Scope (U).gba","",0065ED28
AS6P,00223D14,"0587 - Speedball 2 (E).gba","",00223CCC
AZCE,000D2C04,"0588 - MegaMan Zero (U).gba","",000D2B5C
AN2J,00152E28,"0590 - Natural 2 Duo (J).gba","",000A659C
A3BP,00060F20,"0591 - Sabrina The Teenage Witch - Potion Commotion (E).gba","",00060EF0
AQ3E,004EC394,"0592 - SpongeBob SquarePants - Revenge of The Flying Dutchman (U).gba","",004EC192
A3AJ,001A6740,"0595 - Yossy Island - Super Mario Advance 3 (J).gba","",001A61C8
AAKE,00090BAC,"0596 - AirForce Delta Storm (U).gba","",00090B70
ABDE,001436C0,"0597 - Boulder Dash EX (U).gba","",
AGWP,0009ED00,"0600 - GT Advance 2 - Rally Racing (E).gba","",0009ECD0
ADYJ,002DDB18,"0601 - Hanafuda Trump Mahjong Depachika Wayouchuu (J).gba","",002DDAE8
AG5E,000A2A38,"0603 - Super Ghouls N Ghosts (U).gba","",000A2A08
AZUJ,000E74FC,"0608 - Street Fighter Zero 3 Upper (J).gba","",000E74CC
AECJ,0006D2D4,"0609 - Samurai Evolution - Oukoku Geist (J).gba","",0006D298
A3PE,0026BD40,"0610 - Sega Smash Pack (U).gba","",0026BD30
ADUP,00086280,"0611 - Driver 2 Advance (E).gba","",00063080
ACHE,001A6B5C,"0612 - Castlevania - Harmony of Dissonance (U).gba","",001A6B2C
ALOE,003E7228,"0613 - The Lord of the Rings - The Fellowship of the Ring (U).gba","",003E71F8
A2SE,001790D4,"0615 - Spyro 2 - Season of Flame (U).gba","",
AJXE,0005FB0C,"0616 - Jimmy Neutron vs. Jimmy Negatron (U).gba","",
A3MP,001B6734,"0617 - Disney's Magical Quest Starring Mickey and Minnie (E).gba","",001B6674
AF7J,00047E48,"0618 - Ohanaya-san ni narou! (J).gba","",00047E18
PSAE,0004EDBC,"0619 - Card e-Reader (U).gba","",0004ED80
AOCJ,0004B824,"0623 - Chobits (J).gba","",0004B7F4
ATDJ,00027538,"0625 - Daisuki Teddy (J).gba","",
AP8F,000B85C0,"0626 - Scooby-Doo - The Motion Picture (F).gba","",
AH7J,0002294C,"0631 - Nakayoshi Pet Advance Series 1 Kawaii Hamster (J).gba","",0002291C
AI7J,0002DDDC,"0632 - Nakayoshi Pet Advance Series 2 Kawaii Koinu (J).gba","",0002DDAC
AN3J,00033854,"0633 - Nakayoshi Pet Advance Series 3 Kawaii Koneko (J).gba","",00033818
A3HJ,001738A0,"0635 - Hime Kishi Monogatari - Princess Blue (J).gba","",00173870
AGXP,00744CBC,"0636 - Guilty Gear X - Advance Edition (E).gba","",00744CA4
AEEE,0003B02C,"0638 - Ballistic - Ecks vs. Sever (U).gba","",0003AFF0
ALGP,00569244,"0639 - Dragon Ball Z - The Legacy of Goku (E).gba","",00569230
AESP,00029CE4,"0640 - Ecks vs. Sever (E).gba","",00029CB4
AFYE,000B3E54,"0641 - Fire Pro Wrestling 2 (U).gba","",000B3E0C
AY3E,000B107C,"0644 - Army Men - Turf Wars (U).gba","",
AAPJ,0005DBB8,"0645 - Metalgun Slinger (J).gba","",0005DB88
